path,timestamp,label,benchmark_set,structure,schema_version,schema_description,model,run_number,question_id,question,category,operation,status,success,failure_reason,precision,recall,f1,true_positive,gold_count,generated_count,missing_count,extra_count,comparison_mode,empty_result_equivalence,projection_precision,projection_recall,llm_ms,gold_query_ms,generated_query_ms,scoring_ms,total_ms
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,37,Finn totalt antall aksjer eid per person.,aggregate_group_sum,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,76,76,76,76,"aggregate row values, ignoring output alias names",False,,,7939,0,2,3,7945
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,38,Finn totalt antall personstemmer og slengere per parti.,aggregate_group_sum,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,185,185,185,185,"aggregate row values, ignoring output alias names",False,,,5273,0,79,3,5356
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,41,Finn gjennomsnittlig eierandel per selskap.,aggregate_group_avg,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.5238,0.5238,0.5238,66,126,126,60,60,"aggregate row values, ignoring output alias names",False,,,6287,0,3,4,6295
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,43,Finn gjennomsnittlig antall aksjer per landkode i aksjeeierboken.,aggregate_group_avg,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.9882,0.9882,0.9882,84,85,85,1,1,"aggregate row values, ignoring output alias names",False,,,8782,0,657,1,9441
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,44,Finn gjennomsnittlig fødselsår per rolletype.,aggregate_group_avg,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,9,9,9,9,"aggregate row values, ignoring output alias names",False,,,6503,0,9,0,6512
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,45,Finn gjennomsnittlig listeplass per parti.,aggregate_group_avg,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.8486,0.8486,0.8486,157,185,185,28,28,"aggregate row values, ignoring output alias names",False,,,6855,0,146,3,7005
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,52,"Finn politikere som eier aksjer. Ta med navn, fødselsdato, parti, selskap og eierandel.",lookup_join,aggregate,ok,False,Generated query precision is below the success threshold (0.5).,0.4,1.0,0.5714,2,2,5,0,3,"aggregate row values, ignoring output alias names",False,,,12060,0,8188,0,20249
results\flat\flat_advanced\20260524_040522_flat_advanced_flat_gpt-5-mini.json,20260524_040522,flat_advanced_flat_gpt-5-mini,normal,flat,advanced,flat_advanced,gpt-5-mini,,53,"Finn aksjeeierbokoppføringer for konkursbedrifter i 2023. Ta med aksjonærnavn, selskap, organisasjonsnummer og antall aksjer.",lookup_join,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.9074,0.9074,0.9074,98,108,108,10,10,"aggregate row values, ignoring output alias names",False,,,14704,0,5754,3,20461
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,10,"Finn personlige eierskap fra 2023. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år, eierandel og antall aksjer.",find_projection,find,ok,False,Generated query missed one or more expected result documents or values.,0.6428,0.75,0.6923,786,1048,1048,262,262,find projected field-value pairs using gold projection fields,False,0.8571,0.75,1866,0,2,8,1877
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,14,"Finn norske aksjonærer i 2023. Ta med aksjonærnavn, selskap, organisasjonsnummer, aksjeklasse, landkode, år og antall aksjer.",selection_conditions,find,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,463834,0,463834,0,find projected field-value pairs using gold projection fields,False,1.0,1.0,1038,0,113,1708,2989
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,15,"Finn personlige eiere med eierandel over 0 prosent. Ta med eiernavn, eierens fødselsdato, selskapsnavn, organisasjonsnummer, år og eierandel.",selection_conditions,find,ok,False,Generated query missed one or more expected result documents or values.,0.4445,0.2182,0.2927,360,1650,540,1290,180,find projected field-value pairs using gold projection fields,False,0.6667,0.6667,1941,0,22,8,1973
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,17,"Finn aksjeeierbokoppføringer der selskapsnavnet inneholder både INVEST og HOLDING. Ta med selskap, organisasjonsnummer, aksjonærnavn, aksjeklasse og år.",text_or_pattern_filter,find,ok,False,Generated query precision is below the success threshold (0.5).,0.0003,1.0,0.0006,195,195,777175,0,776980,find projected field-value pairs using gold projection fields,False,1.0,1.0,1065,0,1157,2871,5093
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,27,"Finn selskaper som har minst ett eierskapsforhold. Ta med navn, organisasjonsnummer og antall eierskap.",quantifier_exists,aggregate,ok,False,Generated query missed one or more expected result documents or values.,1.0,0.1825,0.3087,23,126,23,103,0,"aggregate row values, ignoring output alias names",False,,,1591,0,19,1,1612
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,28,"Finn personer som både har selskapsrolle og eier aksjer. Ta med navn, fødselsdato, antall roller og antall eide selskaper.",quantifier_exists,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,1,1,1,1,"aggregate row values, ignoring output alias names",False,,,2283,0,35,0,2319
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,30,Finn aktive selskaper som har aksjeeierbokoppføringer. Ta med navn og organisasjonsnummer.,quantifier_exists,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.9699,0.9079,0.9379,1065,1173,1098,108,33,"aggregate row values, ignoring output alias names",False,,,1312,0,2072,17,3402
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,32,Finn antall selskaper per organisasjonstype.,aggregate_group_count,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.8571,0.8571,0.8571,6,7,7,1,1,"aggregate row values, ignoring output alias names",False,,,950,0,2,0,952
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,34,Finn antall aksjonærer per landkode.,aggregate_group_count,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.9882,0.9882,0.9882,84,85,85,1,1,"aggregate row values, ignoring output alias names",False,,,2925,0,338,1,3264
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,35,Finn antall eierskapsoppføringer per år.,aggregate_group_count,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,2,2,2,2,"aggregate row values, ignoring output alias names",False,,,856,0,1,0,857
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,36,Finn totalt antall aksjer i aksjeeierboken per selskap for 2023.,aggregate_group_sum,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,879,879,879,879,"aggregate row values, ignoring output alias names",False,,,1041,0,91,28,1161
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,37,Finn totalt antall aksjer eid per person.,aggregate_group_sum,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,76,76,76,76,"aggregate row values, ignoring output alias names",False,,,899,0,1,2,903
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,38,Finn totalt antall personstemmer og slengere per parti.,aggregate_group_sum,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,185,185,185,185,"aggregate row values, ignoring output alias names",False,,,1298,0,37,3,1339
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,39,Finn totalt antall aksjer og stemmer per selskap i eierskap.,aggregate_group_sum,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,126,126,126,126,"aggregate row values, ignoring output alias names",False,,,1030,0,2,5,1038
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,41,Finn gjennomsnittlig eierandel per selskap.,aggregate_group_avg,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,126,126,126,126,"aggregate row values, ignoring output alias names",False,,,910,0,2,4,917
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,43,Finn gjennomsnittlig antall aksjer per landkode i aksjeeierboken.,aggregate_group_avg,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.9882,0.9882,0.9882,84,85,85,1,1,"aggregate row values, ignoring output alias names",False,,,937,0,565,2,1504
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,48,"Finn personer med roller i flere enn ett selskap. Ta med navn, fødselsdato og antall selskaper.",aggregate_having_sort_limit,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.0,0.0,0.0,0,66,66,66,66,"aggregate row values, ignoring output alias names",False,,,1522,0,18,2,1542
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,50,"Finn de 10 selskapene med flest aksjeeierbokoppføringer. Ta med navn, organisasjonsnummer og antall oppføringer.",aggregate_having_sort_limit,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.3,0.3,0.3,3,10,10,7,7,"aggregate row values, ignoring output alias names",False,,,1928,0,302,0,2231
results\flat\flat_advanced\20260524_175751_flat_advanced_flat_gpt-4.1-mini.json,20260524_175751,flat_advanced_flat_gpt-4.1-mini,normal,flat,advanced,flat_advanced,gpt-4.1-mini,,53,"Finn aksjeeierbokoppføringer for konkursbedrifter i 2023. Ta med aksjonærnavn, selskap, organisasjonsnummer og antall aksjer.",lookup_join,aggregate,ok,False,Generated query missed one or more expected result documents or values.,0.9074,0.9074,0.9074,98,108,108,10,10,"aggregate row values, ignoring output alias names",False,,,1760,0,5904,3,7667
