path,timestamp,label,benchmark,benchmark_set,structure,schema,schema_description,schema_version,model,run_number,database,total_questions,scored_questions,successful_questions,failed_questions,success_rate,avg_precision,avg_recall,avg_f1,total_run_ms,avg_per_question_ms,avg_llm_ms,avg_generated_query_ms,avg_scoring_ms,errors_total,llm_errors,gold_query_errors,generated_query_errors
results\flat\flat_naive\20260525_022540_flat_naive_flat_gpt-4.1-mini.json,20260525_022540,flat_naive_flat_gpt-4.1-mini,flat.json,normal,flat,flat_naive.yaml,flat_naive,naive,gpt-4.1-mini,,groundtruth,55,51,32,23,0.6275,0.7882,0.784,0.7792,175909,3190,2292,369,490,4,3,0,1
results\flat\flat_naive\20260525_023916_flat_naive_flat_gpt-5-mini.json,20260525_023916,flat_naive_flat_gpt-5-mini,flat.json,normal,flat,flat_naive.yaml,flat_naive,naive,gpt-5-mini,,groundtruth,55,54,41,14,0.7593,0.8398,0.8641,0.8421,398294,7234,5834,867,496,1,0,0,1
results\flat_complex\flat_advanced\20260525_184825_flat_advanced_flat_complex_gpt-4.1-mini_run01.json,20260525_184825,flat_advanced_flat_complex_gpt-4.1-mini_run01,flat_complex.json,complex,flat,flat_advanced.yaml,flat_advanced,advanced,gpt-4.1-mini,01,groundtruth,5,5,5,0,1.0,1.0,1.0,1.0,54050,10806,4731,6074,1,0,0,0,0
results\flat_complex\flat_advanced\20260525_185530_flat_advanced_flat_complex_gpt-5-mini_run01.json,20260525_185530,flat_advanced_flat_complex_gpt-5-mini_run01,flat_complex.json,complex,flat,flat_advanced.yaml,flat_advanced,advanced,gpt-5-mini,01,groundtruth,5,4,3,2,0.75,0.75,0.75,0.75,166473,33290,24384,8906,1,1,1,0,0
results\flat_complex\flat_advanced\20260525_190113_flat_advanced_flat_complex_gpt-4.1-mini_run02.json,20260525_190113,flat_advanced_flat_complex_gpt-4.1-mini_run02,flat_complex.json,complex,flat,flat_advanced.yaml,flat_advanced,advanced,gpt-4.1-mini,02,groundtruth,5,5,5,0,1.0,1.0,1.0,1.0,49301,9856,4041,5814,1,0,0,0,0
results\flat_complex\flat_advanced\20260525_190758_flat_advanced_flat_complex_gpt-5-mini_run02.json,20260525_190758,flat_advanced_flat_complex_gpt-5-mini_run02,flat_complex.json,complex,flat,flat_advanced.yaml,flat_advanced,advanced,gpt-5-mini,02,groundtruth,5,3,2,3,0.6667,0.6667,0.6667,0.6667,153465,30689,25741,4947,1,2,2,0,0
results\flat_complex\flat_advanced\20260525_191314_flat_advanced_flat_complex_gpt-4.1-mini_run03.json,20260525_191314,flat_advanced_flat_complex_gpt-4.1-mini_run03,flat_complex.json,complex,flat,flat_advanced.yaml,flat_advanced,advanced,gpt-4.1-mini,03,groundtruth,5,5,5,0,1.0,1.0,1.0,1.0,50366,10069,4087,5981,0,0,0,0,0
results\flat_complex\flat_advanced\20260525_191823_flat_advanced_flat_complex_gpt-5-mini_run03.json,20260525_191823,flat_advanced_flat_complex_gpt-5-mini_run03,flat_complex.json,complex,flat,flat_advanced.yaml,flat_advanced,advanced,gpt-5-mini,03,groundtruth,5,4,3,2,0.75,0.75,0.75,0.75,108036,21603,15170,6432,0,1,1,0,0
results\flat_complex\flat_naive\20260525_184731_flat_naive_flat_complex_gpt-4.1-mini_run01.json,20260525_184731,flat_naive_flat_complex_gpt-4.1-mini_run01,flat_complex.json,complex,flat,flat_naive.yaml,flat_naive,naive,gpt-4.1-mini,01,groundtruth,5,5,3,2,0.6,0.687,0.7111,0.6976,27496,5498,4667,829,1,0,0,0,0
results\flat_complex\flat_naive\20260525_185243_flat_naive_flat_complex_gpt-5-mini_run01.json,20260525_185243,flat_naive_flat_complex_gpt-5-mini_run01,flat_complex.json,complex,flat,flat_naive.yaml,flat_naive,naive,gpt-5-mini,01,groundtruth,5,5,3,2,0.6,0.6,0.6,0.6,162999,32598,28144,4453,1,0,0,0,0
results\flat_complex\flat_naive\20260525_190024_flat_naive_flat_complex_gpt-4.1-mini_run02.json,20260525_190024,flat_naive_flat_complex_gpt-4.1-mini_run02,flat_complex.json,complex,flat,flat_naive.yaml,flat_naive,naive,gpt-4.1-mini,02,groundtruth,5,5,3,2,0.6,0.6435,0.6556,0.6488,27453,5489,3742,1746,1,0,0,0,0
results\flat_complex\flat_naive\20260525_190525_flat_naive_flat_complex_gpt-5-mini_run02.json,20260525_190525,flat_naive_flat_complex_gpt-5-mini_run02,flat_complex.json,complex,flat,flat_naive.yaml,flat_naive,naive,gpt-5-mini,02,groundtruth,5,5,3,2,0.6,0.6,0.6,0.6,161906,32379,23235,9100,44,0,0,0,0
results\flat_complex\flat_naive\20260525_191223_flat_naive_flat_complex_gpt-4.1-mini_run03.json,20260525_191223,flat_naive_flat_complex_gpt-4.1-mini_run03,flat_complex.json,complex,flat,flat_naive.yaml,flat_naive,naive,gpt-4.1-mini,03,groundtruth,5,5,3,2,0.6,0.6435,0.6556,0.6488,40793,8157,5832,2325,1,0,0,0,0
results\flat_complex\flat_naive\20260525_191635_flat_naive_flat_complex_gpt-5-mini_run03.json,20260525_191635,flat_naive_flat_complex_gpt-5-mini_run03,flat_complex.json,complex,flat,flat_naive.yaml,flat_naive,naive,gpt-5-mini,03,groundtruth,5,4,2,3,0.5,0.5,0.5,0.5,111243,22247,14081,8166,1,1,0,0,1
results\structured\structured_advanced\20260524_035159_structured_advanced_structured_gpt-4.1-mini.json,20260524_035159,structured_advanced_structured_gpt-4.1-mini,structured.json,normal,structured,structured_advanced.yaml,structured_advanced,advanced,gpt-4.1-mini,,groundtruthStructured,55,55,27,28,0.4909,0.6171,0.6666,0.6164,112047,2028,1164,264,569,0,0,0,0
results\structured\structured_advanced\20260524_041647_structured_advanced_structured_gpt-5-mini.json,20260524_041647,structured_advanced_structured_gpt-5-mini,structured.json,normal,structured,structured_advanced.yaml,structured_advanced,advanced,gpt-5-mini,,groundtruthStructured,55,55,36,19,0.6545,0.7503,0.7807,0.7494,342373,6216,4931,703,550,0,0,0,0
results\structured\structured_advanced\20260524_180207_structured_advanced_structured_gpt-4.1-mini.json,20260524_180207,structured_advanced_structured_gpt-4.1-mini,structured.json,normal,structured,structured_advanced.yaml,structured_advanced,advanced,gpt-4.1-mini,,groundtruthStructured,55,54,27,28,0.5,0.6288,0.6792,0.628,138643,2511,1567,346,563,1,0,0,1
results\structured\structured_advanced\20260524_184024_structured_advanced_structured_gpt-5-mini.json,20260524_184024,structured_advanced_structured_gpt-5-mini,structured.json,normal,structured,structured_advanced.yaml,structured_advanced,advanced,gpt-5-mini,,groundtruthStructured,55,55,34,21,0.6182,0.7403,0.7786,0.7411,581761,10568,9583,410,534,0,0,0,0
results\structured\structured_advanced\20260525_023237_structured_advanced_structured_gpt-4.1-mini.json,20260525_023237,structured_advanced_structured_gpt-4.1-mini,structured.json,normal,structured,structured_advanced.yaml,structured_advanced,advanced,gpt-4.1-mini,,groundtruthStructured,55,55,28,27,0.5091,0.6477,0.696,0.6464,133669,2420,1530,269,589,0,0,0,0
results\structured\structured_advanced\20260525_030622_structured_advanced_structured_gpt-5-mini.json,20260525_030622,structured_advanced_structured_gpt-5-mini,structured.json,normal,structured,structured_advanced.yaml,structured_advanced,advanced,gpt-5-mini,,groundtruthStructured,55,54,37,18,0.6852,0.7863,0.8177,0.7839,705686,12820,10043,2181,559,1,0,0,1
results\structured\structured_naive\20260524_035007_structured_naive_structured_gpt-4.1-mini.json,20260524_035007,structured_naive_structured_gpt-4.1-mini,structured.json,normal,structured,structured_naive.yaml,structured_naive,naive,gpt-4.1-mini,,groundtruthStructured,55,54,29,26,0.537,0.6588,0.6812,0.6517,100660,1821,1117,129,544,1,1,0,0
results\structured\structured_naive\20260524_041105_structured_naive_structured_gpt-5-mini.json,20260524_041105,structured_naive_structured_gpt-5-mini,structured.json,normal,structured,structured_naive.yaml,structured_naive,naive,gpt-5-mini,,groundtruthStructured,55,53,33,22,0.6226,0.785,0.7799,0.7759,343252,6233,5318,400,483,2,0,0,2
results\structured\structured_naive\20260524_175949_structured_naive_structured_gpt-4.1-mini.json,20260524_175949,structured_naive_structured_gpt-4.1-mini,structured.json,normal,structured,structured_naive.yaml,structured_naive,naive,gpt-4.1-mini,,groundtruthStructured,55,53,29,26,0.5472,0.6941,0.7114,0.6859,117616,2128,1385,137,571,2,2,0,0
results\structured\structured_naive\20260524_183042_structured_naive_structured_gpt-5-mini.json,20260524_183042,structured_naive_structured_gpt-5-mini,structured.json,normal,structured,structured_naive.yaml,structured_naive,naive,gpt-5-mini,,groundtruthStructured,55,54,35,20,0.6481,0.7937,0.7943,0.7871,534295,9705,8870,283,517,1,0,0,1
results\structured\structured_naive\20260525_023024_structured_naive_structured_gpt-4.1-mini.json,20260525_023024,structured_naive_structured_gpt-4.1-mini,structured.json,normal,structured,structured_naive.yaml,structured_naive,naive,gpt-4.1-mini,,groundtruthStructured,55,53,30,25,0.566,0.7013,0.7206,0.6931,152658,2766,2007,148,574,2,2,0,0
results\structured\structured_naive\20260525_025437_structured_naive_structured_gpt-5-mini.json,20260525_025437,structured_naive_structured_gpt-5-mini,structured.json,normal,structured,structured_naive.yaml,structured_naive,naive,gpt-5-mini,,groundtruthStructured,55,53,34,21,0.6415,0.7836,0.7785,0.7746,470481,8545,7720,266,527,2,0,0,2
results\structured_complex\structured_advanced\20260525_185000_structured_advanced_structured_complex_gpt-4.1-mini_run01.json,20260525_185000,structured_advanced_structured_complex_gpt-4.1-mini_run01,structured_complex.json,complex,structured,structured_advanced.yaml,structured_advanced,advanced,gpt-4.1-mini,01,groundtruthStructured,5,4,2,3,0.5,0.5796,0.5972,0.5875,78579,15708,3602,12104,0,1,0,0,1
results\structured_complex\structured_advanced\20260525_185957_structured_advanced_structured_complex_gpt-5-mini_run01.json,20260525_185957,structured_advanced_structured_complex_gpt-5-mini_run01,structured_complex.json,complex,structured,structured_advanced.yaml,structured_advanced,advanced,gpt-5-mini,01,groundtruthStructured,5,5,3,2,0.6,0.6,0.6,0.6,130694,26130,22761,3368,1,0,0,0,0
results\structured_complex\structured_advanced\20260525_190243_structured_advanced_structured_complex_gpt-4.1-mini_run02.json,20260525_190243,structured_advanced_structured_complex_gpt-4.1-mini_run02,structured_complex.json,complex,structured,structured_advanced.yaml,structured_advanced,advanced,gpt-4.1-mini,02,groundtruthStructured,5,4,2,3,0.5,0.5761,0.5972,0.5854,75166,15026,2946,12078,1,1,0,0,1
results\structured_complex\structured_advanced\20260525_191143_structured_advanced_structured_complex_gpt-5-mini_run02.json,20260525_191143,structured_advanced_structured_complex_gpt-5-mini_run02,structured_complex.json,complex,structured,structured_advanced.yaml,structured_advanced,advanced,gpt-5-mini,02,groundtruthStructured,5,4,3,2,0.75,0.75,0.75,0.75,102573,20507,20152,354,1,1,1,0,0
results\structured_complex\structured_advanced\20260525_191443_structured_advanced_structured_complex_gpt-4.1-mini_run03.json,20260525_191443,structured_advanced_structured_complex_gpt-4.1-mini_run03,structured_complex.json,complex,structured,structured_advanced.yaml,structured_advanced,advanced,gpt-4.1-mini,03,groundtruthStructured,5,4,2,3,0.5,0.5796,0.5972,0.5875,74737,14939,2917,12022,0,1,0,0,1
results\structured_complex\structured_advanced\20260525_192127_structured_advanced_structured_complex_gpt-5-mini_run03.json,20260525_192127,structured_advanced_structured_complex_gpt-5-mini_run03,structured_complex.json,complex,structured,structured_advanced.yaml,structured_advanced,advanced,gpt-5-mini,03,groundtruthStructured,5,3,1,4,0.3333,0.3333,0.3333,0.3333,100133,20019,15801,4217,1,2,2,0,0
results\structured_complex\structured_naive\20260525_184842_structured_naive_structured_complex_gpt-4.1-mini_run01.json,20260525_184842,structured_naive_structured_complex_gpt-4.1-mini_run01,structured_complex.json,complex,structured,structured_naive.yaml,structured_naive,naive,gpt-4.1-mini,01,groundtruthStructured,5,4,2,3,0.5,0.5,0.5,0.5,16228,3243,3212,29,0,1,1,0,0
results\structured_complex\structured_naive\20260525_185746_structured_naive_structured_complex_gpt-5-mini_run01.json,20260525_185746,structured_naive_structured_complex_gpt-5-mini_run01,structured_complex.json,complex,structured,structured_naive.yaml,structured_naive,naive,gpt-5-mini,01,groundtruthStructured,5,5,2,3,0.4,0.5778,0.4842,0.5143,136345,27267,20563,6703,1,0,0,0,0
results\structured_complex\structured_naive\20260525_190128_structured_naive_structured_complex_gpt-4.1-mini_run02.json,20260525_190128,structured_naive_structured_complex_gpt-4.1-mini_run02,structured_complex.json,complex,structured,structured_naive.yaml,structured_naive,naive,gpt-4.1-mini,02,groundtruthStructured,5,5,2,3,0.4,0.6414,0.562,0.5843,14201,2839,2710,128,0,0,0,0,0
results\structured_complex\structured_naive\20260525_191000_structured_naive_structured_complex_gpt-5-mini_run02.json,20260525_191000,structured_naive_structured_complex_gpt-5-mini_run02,structured_complex.json,complex,structured,structured_naive.yaml,structured_naive,naive,gpt-5-mini,02,groundtruthStructured,5,5,2,3,0.4,0.5778,0.4842,0.5143,121642,24327,17903,6422,1,0,0,0,0
results\structured_complex\structured_naive\20260525_191329_structured_naive_structured_complex_gpt-4.1-mini_run03.json,20260525_191329,structured_naive_structured_complex_gpt-4.1-mini_run03,structured_complex.json,complex,structured,structured_naive.yaml,structured_naive,naive,gpt-4.1-mini,03,groundtruthStructured,5,4,2,3,0.5,0.5,0.5,0.5,14757,2950,2810,138,0,1,1,0,0
results\structured_complex\structured_naive\20260525_191947_structured_naive_structured_complex_gpt-5-mini_run03.json,20260525_191947,structured_naive_structured_complex_gpt-5-mini_run03,structured_complex.json,complex,structured,structured_naive.yaml,structured_naive,naive,gpt-5-mini,03,groundtruthStructured,5,5,2,3,0.4,0.5778,0.4842,0.5143,83963,16791,12846,3943,1,0,0,0,0
