timestamp,label,model,structure,structure_base,schema_description,schema_version,benchmark,benchmark_set,total_questions,scored_questions,successful_questions,failed_questions,success_rate,avg_precision,avg_recall,avg_f1,error_total,avg_time_ms,path
20260524_041647,structured_advanced_structured_gpt-5-mini,gpt-5-mini,structured,structured,structured_advanced,advanced,structured.json,main,55,55,36,19,0.6545,0.7503,0.7807,0.7494,0,6216,results\structured\structured_advanced\20260524_041647_structured_advanced_structured_gpt-5-mini.json
20260524_180207,structured_advanced_structured_gpt-4.1-mini,gpt-4.1-mini,structured,structured,structured_advanced,advanced,structured.json,main,55,54,27,28,0.5,0.6288,0.6792,0.628,1,2511,results\structured\structured_advanced\20260524_180207_structured_advanced_structured_gpt-4.1-mini.json
20260524_184024,structured_advanced_structured_gpt-5-mini,gpt-5-mini,structured,structured,structured_advanced,advanced,structured.json,main,55,55,34,21,0.6182,0.7403,0.7786,0.7411,0,10568,results\structured\structured_advanced\20260524_184024_structured_advanced_structured_gpt-5-mini.json
20260525_023237,structured_advanced_structured_gpt-4.1-mini,gpt-4.1-mini,structured,structured,structured_advanced,advanced,structured.json,main,55,55,28,27,0.5091,0.6477,0.696,0.6464,0,2420,results\structured\structured_advanced\20260525_023237_structured_advanced_structured_gpt-4.1-mini.json
20260525_030622,structured_advanced_structured_gpt-5-mini,gpt-5-mini,structured,structured,structured_advanced,advanced,structured.json,main,55,54,37,18,0.6852,0.7863,0.8177,0.7839,1,12820,results\structured\structured_advanced\20260525_030622_structured_advanced_structured_gpt-5-mini.json
20260524_035007,structured_naive_structured_gpt-4.1-mini,gpt-4.1-mini,structured,structured,structured_naive,naive,structured.json,main,55,54,29,26,0.537,0.6588,0.6812,0.6517,1,1821,results\structured\structured_naive\20260524_035007_structured_naive_structured_gpt-4.1-mini.json
20260524_041105,structured_naive_structured_gpt-5-mini,gpt-5-mini,structured,structured,structured_naive,naive,structured.json,main,55,53,33,22,0.6226,0.785,0.7799,0.7759,2,6233,results\structured\structured_naive\20260524_041105_structured_naive_structured_gpt-5-mini.json
20260524_175949,structured_naive_structured_gpt-4.1-mini,gpt-4.1-mini,structured,structured,structured_naive,naive,structured.json,main,55,53,29,26,0.5472,0.6941,0.7114,0.6859,2,2128,results\structured\structured_naive\20260524_175949_structured_naive_structured_gpt-4.1-mini.json
20260524_183042,structured_naive_structured_gpt-5-mini,gpt-5-mini,structured,structured,structured_naive,naive,structured.json,main,55,54,35,20,0.6481,0.7937,0.7943,0.7871,1,9705,results\structured\structured_naive\20260524_183042_structured_naive_structured_gpt-5-mini.json
20260525_023024,structured_naive_structured_gpt-4.1-mini,gpt-4.1-mini,structured,structured,structured_naive,naive,structured.json,main,55,53,30,25,0.566,0.7013,0.7206,0.6931,2,2766,results\structured\structured_naive\20260525_023024_structured_naive_structured_gpt-4.1-mini.json
20260525_025437,structured_naive_structured_gpt-5-mini,gpt-5-mini,structured,structured,structured_naive,naive,structured.json,main,55,53,34,21,0.6415,0.7836,0.7785,0.7746,2,8545,results\structured\structured_naive\20260525_025437_structured_naive_structured_gpt-5-mini.json
20260525_185000,structured_advanced_structured_complex_gpt-4.1-mini_run01,gpt-4.1-mini,structured_complex,structured,structured_advanced,advanced,structured_complex.json,complex,5,4,2,3,0.5,0.5796,0.5972,0.5875,1,15708,results\structured_complex\structured_advanced\20260525_185000_structured_advanced_structured_complex_gpt-4.1-mini_run01.json
20260525_185957,structured_advanced_structured_complex_gpt-5-mini_run01,gpt-5-mini,structured_complex,structured,structured_advanced,advanced,structured_complex.json,complex,5,5,3,2,0.6,0.6,0.6,0.6,0,26130,results\structured_complex\structured_advanced\20260525_185957_structured_advanced_structured_complex_gpt-5-mini_run01.json
20260525_190243,structured_advanced_structured_complex_gpt-4.1-mini_run02,gpt-4.1-mini,structured_complex,structured,structured_advanced,advanced,structured_complex.json,complex,5,4,2,3,0.5,0.5761,0.5972,0.5854,1,15026,results\structured_complex\structured_advanced\20260525_190243_structured_advanced_structured_complex_gpt-4.1-mini_run02.json
20260525_191143,structured_advanced_structured_complex_gpt-5-mini_run02,gpt-5-mini,structured_complex,structured,structured_advanced,advanced,structured_complex.json,complex,5,4,3,2,0.75,0.75,0.75,0.75,1,20507,results\structured_complex\structured_advanced\20260525_191143_structured_advanced_structured_complex_gpt-5-mini_run02.json
20260525_191443,structured_advanced_structured_complex_gpt-4.1-mini_run03,gpt-4.1-mini,structured_complex,structured,structured_advanced,advanced,structured_complex.json,complex,5,4,2,3,0.5,0.5796,0.5972,0.5875,1,14939,results\structured_complex\structured_advanced\20260525_191443_structured_advanced_structured_complex_gpt-4.1-mini_run03.json
20260525_192127,structured_advanced_structured_complex_gpt-5-mini_run03,gpt-5-mini,structured_complex,structured,structured_advanced,advanced,structured_complex.json,complex,5,3,1,4,0.3333,0.3333,0.3333,0.3333,2,20019,results\structured_complex\structured_advanced\20260525_192127_structured_advanced_structured_complex_gpt-5-mini_run03.json
20260525_184842,structured_naive_structured_complex_gpt-4.1-mini_run01,gpt-4.1-mini,structured_complex,structured,structured_naive,naive,structured_complex.json,complex,5,4,2,3,0.5,0.5,0.5,0.5,1,3243,results\structured_complex\structured_naive\20260525_184842_structured_naive_structured_complex_gpt-4.1-mini_run01.json
20260525_185746,structured_naive_structured_complex_gpt-5-mini_run01,gpt-5-mini,structured_complex,structured,structured_naive,naive,structured_complex.json,complex,5,5,2,3,0.4,0.5778,0.4842,0.5143,0,27267,results\structured_complex\structured_naive\20260525_185746_structured_naive_structured_complex_gpt-5-mini_run01.json
20260525_190128,structured_naive_structured_complex_gpt-4.1-mini_run02,gpt-4.1-mini,structured_complex,structured,structured_naive,naive,structured_complex.json,complex,5,5,2,3,0.4,0.6414,0.562,0.5843,0,2839,results\structured_complex\structured_naive\20260525_190128_structured_naive_structured_complex_gpt-4.1-mini_run02.json
20260525_191000,structured_naive_structured_complex_gpt-5-mini_run02,gpt-5-mini,structured_complex,structured,structured_naive,naive,structured_complex.json,complex,5,5,2,3,0.4,0.5778,0.4842,0.5143,0,24327,results\structured_complex\structured_naive\20260525_191000_structured_naive_structured_complex_gpt-5-mini_run02.json
20260525_191329,structured_naive_structured_complex_gpt-4.1-mini_run03,gpt-4.1-mini,structured_complex,structured,structured_naive,naive,structured_complex.json,complex,5,4,2,3,0.5,0.5,0.5,0.5,1,2950,results\structured_complex\structured_naive\20260525_191329_structured_naive_structured_complex_gpt-4.1-mini_run03.json
20260525_191947,structured_naive_structured_complex_gpt-5-mini_run03,gpt-5-mini,structured_complex,structured,structured_naive,naive,structured_complex.json,complex,5,5,2,3,0.4,0.5778,0.4842,0.5143,0,16791,results\structured_complex\structured_naive\20260525_191947_structured_naive_structured_complex_gpt-5-mini_run03.json
