timestamp,label,benchmark,structure,schema,model,questions,successful_questions,success_rate,precision,recall,f1,runtime_s,error_total,path
20260525_190113,flat_advanced_flat_complex_gpt-4.1-mini_run02,complex,flat,technical,gpt-4.1-mini,5,5,1,1,1,1,9.856,0,results\flat_complex\flat_advanced\20260525_190113_flat_advanced_flat_complex_gpt-4.1-mini_run02.json
20260525_190758,flat_advanced_flat_complex_gpt-5-mini_run02,complex,flat,technical,gpt-5-mini,5,2,0.6667,0.6667,0.6667,0.6667,30.689,2,results\flat_complex\flat_advanced\20260525_190758_flat_advanced_flat_complex_gpt-5-mini_run02.json
20260525_191314,flat_advanced_flat_complex_gpt-4.1-mini_run03,complex,flat,technical,gpt-4.1-mini,5,5,1,1,1,1,10.069,0,results\flat_complex\flat_advanced\20260525_191314_flat_advanced_flat_complex_gpt-4.1-mini_run03.json
20260525_191823,flat_advanced_flat_complex_gpt-5-mini_run03,complex,flat,technical,gpt-5-mini,5,3,0.75,0.75,0.75,0.75,21.603,1,results\flat_complex\flat_advanced\20260525_191823_flat_advanced_flat_complex_gpt-5-mini_run03.json
20260525_184731,flat_naive_flat_complex_gpt-4.1-mini_run01,complex,flat,naive,gpt-4.1-mini,5,3,0.6,0.687,0.7111,0.6976,5.498,0,results\flat_complex\flat_naive\20260525_184731_flat_naive_flat_complex_gpt-4.1-mini_run01.json
20260525_185243,flat_naive_flat_complex_gpt-5-mini_run01,complex,flat,naive,gpt-5-mini,5,3,0.6,0.6,0.6,0.6,32.598,0,results\flat_complex\flat_naive\20260525_185243_flat_naive_flat_complex_gpt-5-mini_run01.json
20260525_190024,flat_naive_flat_complex_gpt-4.1-mini_run02,complex,flat,naive,gpt-4.1-mini,5,3,0.6,0.6435,0.6556,0.6488,5.489,0,results\flat_complex\flat_naive\20260525_190024_flat_naive_flat_complex_gpt-4.1-mini_run02.json
20260525_190525,flat_naive_flat_complex_gpt-5-mini_run02,complex,flat,naive,gpt-5-mini,5,3,0.6,0.6,0.6,0.6,32.379,0,results\flat_complex\flat_naive\20260525_190525_flat_naive_flat_complex_gpt-5-mini_run02.json
20260525_191223,flat_naive_flat_complex_gpt-4.1-mini_run03,complex,flat,naive,gpt-4.1-mini,5,3,0.6,0.6435,0.6556,0.6488,8.157,0,results\flat_complex\flat_naive\20260525_191223_flat_naive_flat_complex_gpt-4.1-mini_run03.json
20260525_191635,flat_naive_flat_complex_gpt-5-mini_run03,complex,flat,naive,gpt-5-mini,5,2,0.5,0.5,0.5,0.5,22.247,1,results\flat_complex\flat_naive\20260525_191635_flat_naive_flat_complex_gpt-5-mini_run03.json
20260524_035159,structured_advanced_structured_gpt-4.1-mini,standard,structured,technical,gpt-4.1-mini,55,27,0.4909,0.6171,0.6666,0.6164,2.028,0,results\structured\structured_advanced\20260524_035159_structured_advanced_structured_gpt-4.1-mini.json
20260524_041647,structured_advanced_structured_gpt-5-mini,standard,structured,technical,gpt-5-mini,55,36,0.6545,0.7503,0.7807,0.7494,6.216,0,results\structured\structured_advanced\20260524_041647_structured_advanced_structured_gpt-5-mini.json
20260524_180207,structured_advanced_structured_gpt-4.1-mini,standard,structured,technical,gpt-4.1-mini,55,27,0.5,0.6288,0.6792,0.628,2.511,1,results\structured\structured_advanced\20260524_180207_structured_advanced_structured_gpt-4.1-mini.json
20260524_184024,structured_advanced_structured_gpt-5-mini,standard,structured,technical,gpt-5-mini,55,34,0.6182,0.7403,0.7786,0.7411,10.568,0,results\structured\structured_advanced\20260524_184024_structured_advanced_structured_gpt-5-mini.json
20260525_023237,structured_advanced_structured_gpt-4.1-mini,standard,structured,technical,gpt-4.1-mini,55,28,0.5091,0.6477,0.696,0.6464,2.42,0,results\structured\structured_advanced\20260525_023237_structured_advanced_structured_gpt-4.1-mini.json
20260525_030622,structured_advanced_structured_gpt-5-mini,standard,structured,technical,gpt-5-mini,55,37,0.6852,0.7863,0.8177,0.7839,12.82,1,results\structured\structured_advanced\20260525_030622_structured_advanced_structured_gpt-5-mini.json
20260524_035007,structured_naive_structured_gpt-4.1-mini,standard,structured,naive,gpt-4.1-mini,55,29,0.537,0.6588,0.6812,0.6517,1.821,1,results\structured\structured_naive\20260524_035007_structured_naive_structured_gpt-4.1-mini.json
20260524_041105,structured_naive_structured_gpt-5-mini,standard,structured,naive,gpt-5-mini,55,33,0.6226,0.785,0.7799,0.7759,6.233,2,results\structured\structured_naive\20260524_041105_structured_naive_structured_gpt-5-mini.json
20260524_175949,structured_naive_structured_gpt-4.1-mini,standard,structured,naive,gpt-4.1-mini,55,29,0.5472,0.6941,0.7114,0.6859,2.128,2,results\structured\structured_naive\20260524_175949_structured_naive_structured_gpt-4.1-mini.json
20260524_183042,structured_naive_structured_gpt-5-mini,standard,structured,naive,gpt-5-mini,55,35,0.6481,0.7937,0.7943,0.7871,9.705,1,results\structured\structured_naive\20260524_183042_structured_naive_structured_gpt-5-mini.json
20260525_023024,structured_naive_structured_gpt-4.1-mini,standard,structured,naive,gpt-4.1-mini,55,30,0.566,0.7013,0.7206,0.6931,2.766,2,results\structured\structured_naive\20260525_023024_structured_naive_structured_gpt-4.1-mini.json
20260525_025437,structured_naive_structured_gpt-5-mini,standard,structured,naive,gpt-5-mini,55,34,0.6415,0.7836,0.7785,0.7746,8.545,2,results\structured\structured_naive\20260525_025437_structured_naive_structured_gpt-5-mini.json
20260525_185000,structured_advanced_structured_complex_gpt-4.1-mini_run01,complex,structured,technical,gpt-4.1-mini,5,2,0.5,0.5796,0.5972,0.5875,15.708,1,results\structured_complex\structured_advanced\20260525_185000_structured_advanced_structured_complex_gpt-4.1-mini_run01.json
20260525_185957,structured_advanced_structured_complex_gpt-5-mini_run01,complex,structured,technical,gpt-5-mini,5,3,0.6,0.6,0.6,0.6,26.13,0,results\structured_complex\structured_advanced\20260525_185957_structured_advanced_structured_complex_gpt-5-mini_run01.json
20260525_190243,structured_advanced_structured_complex_gpt-4.1-mini_run02,complex,structured,technical,gpt-4.1-mini,5,2,0.5,0.5761,0.5972,0.5854,15.026,1,results\structured_complex\structured_advanced\20260525_190243_structured_advanced_structured_complex_gpt-4.1-mini_run02.json
20260525_191143,structured_advanced_structured_complex_gpt-5-mini_run02,complex,structured,technical,gpt-5-mini,5,3,0.75,0.75,0.75,0.75,20.507,1,results\structured_complex\structured_advanced\20260525_191143_structured_advanced_structured_complex_gpt-5-mini_run02.json
20260525_191443,structured_advanced_structured_complex_gpt-4.1-mini_run03,complex,structured,technical,gpt-4.1-mini,5,2,0.5,0.5796,0.5972,0.5875,14.939,1,results\structured_complex\structured_advanced\20260525_191443_structured_advanced_structured_complex_gpt-4.1-mini_run03.json
20260525_192127,structured_advanced_structured_complex_gpt-5-mini_run03,complex,structured,technical,gpt-5-mini,5,1,0.3333,0.3333,0.3333,0.3333,20.019,2,results\structured_complex\structured_advanced\20260525_192127_structured_advanced_structured_complex_gpt-5-mini_run03.json
20260525_184842,structured_naive_structured_complex_gpt-4.1-mini_run01,complex,structured,naive,gpt-4.1-mini,5,2,0.5,0.5,0.5,0.5,3.243,1,results\structured_complex\structured_naive\20260525_184842_structured_naive_structured_complex_gpt-4.1-mini_run01.json
20260525_185746,structured_naive_structured_complex_gpt-5-mini_run01,complex,structured,naive,gpt-5-mini,5,2,0.4,0.5778,0.4842,0.5143,27.267,0,results\structured_complex\structured_naive\20260525_185746_structured_naive_structured_complex_gpt-5-mini_run01.json
20260525_190128,structured_naive_structured_complex_gpt-4.1-mini_run02,complex,structured,naive,gpt-4.1-mini,5,2,0.4,0.6414,0.562,0.5843,2.839,0,results\structured_complex\structured_naive\20260525_190128_structured_naive_structured_complex_gpt-4.1-mini_run02.json
20260525_191000,structured_naive_structured_complex_gpt-5-mini_run02,complex,structured,naive,gpt-5-mini,5,2,0.4,0.5778,0.4842,0.5143,24.327,0,results\structured_complex\structured_naive\20260525_191000_structured_naive_structured_complex_gpt-5-mini_run02.json
20260525_191329,structured_naive_structured_complex_gpt-4.1-mini_run03,complex,structured,naive,gpt-4.1-mini,5,2,0.5,0.5,0.5,0.5,2.95,1,results\structured_complex\structured_naive\20260525_191329_structured_naive_structured_complex_gpt-4.1-mini_run03.json
20260525_191947,structured_naive_structured_complex_gpt-5-mini_run03,complex,structured,naive,gpt-5-mini,5,2,0.4,0.5778,0.4842,0.5143,16.791,0,results\structured_complex\structured_naive\20260525_191947_structured_naive_structured_complex_gpt-5-mini_run03.json
